일시,평균강수량(mm),최대강수량(mm),경기 취소 여부
2018-06-10,0.0208333333,0.5,0
2018-06-12,0.104166667,2,0
2018-06-14,0.0625,1,0
2018-06-15,0.0833333333,1.5,0
2018-06-29,0.0833333333,1,0
2018-06-30,0.125,2,0
2018-07-03,0.0208333333,0.5,0
2018-07-05,0.125,2.5,0
2018-07-10,0.5,6.5,0
2018-07-11,0.0833333333,0.5,0
2018-07-28,0.270833333,6,0
2018-08-05,0.0625,1,0
2018-08-09,0.604166667,11,0
2018-09-07,0.125,3,0
2018-09-16,0.0416666667,0.5,0
2018-09-20,0.229166667,2,0
2018-09-21,0.75,4,0
2018-09-22,0.458333333,11,0
2018-10-06,3.041666667,11.5,0
2018-10-10,0.1875,4.5,0
2019-03-23,0.104166667,2,0
2019-03-30,0.0833333333,1,0
2019-04-10,0.208333333,2,0
2019-04-14,0.0625,0.5,0
2019-04-21,0.0208333333,0.5,0
2019-04-24,0.291666667,2,0
2019-04-26,0.125,0.5,0
2019-06-06,0.229166667,1.5,0
2019-06-07,1.5625,10.5,0
2019-06-15,0.104166667,2.5,0
2019-06-18,0.3125,3,0
2019-06-19,0.0208333333,0.5,0
2019-06-29,0.0833333333,1,0
2019-07-11,0.166666667,1.5,0
2019-07-18,0.0625,1.5,0
2019-07-27,2.25,30.5,0
2019-07-29,0.0416666667,1,0
2019-07-31,2.708333333,23,0
2019-08-01,2,16,0
2019-08-07,0.520833333,3.5,0
2019-08-09,0.3125,7.5,0
2019-08-11,0.0416666667,1,0
2019-08-17,0.0208333333,0.5,0
2019-08-21,0.0416666667,0.5,0
2019-08-27,0.104166667,2,0
2019-09-06,0.0416666667,0.5,0
2019-09-11,0.395833333,2.5,0
2019-09-12,0.0416666667,0.5,0
2019-09-13,0.0208333333,0.5,0
2019-09-14,0.0208333333,0.5,0
2019-09-22,0.125,1,0
2020-05-08,0.0625,1,0
2020-05-12,0.125,2,0
2020-05-16,0.0208333333,0.5,0
2020-05-19,0.3125,2.5,0
2020-05-24,0.520833333,9.5,0
2020-06-02,0.0625,1,0
2020-06-11,0.0208333333,0.5,0
2020-06-14,0.0416666667,1,0
2020-06-25,0.3125,2,0
2020-06-26,0.0416666667,0.5,0
2020-06-30,1.916666667,10.5,0
2020-07-04,0.0833333333,1,0
2020-07-14,0.875,7,0
2020-07-19,1.6875,28.5,0
2020-07-20,0.25,6,0
2020-07-24,0.0416666667,0.5,0
2020-07-30,0.0416666667,1,0
2020-08-01,1.270833333,13,0
2020-08-04,1.5625,25,0
2020-08-05,1.541666667,33.5,0
2020-08-06,4.229166667,23.5,0
2020-08-08,0.8125,5,0
2020-08-11,4.604166667,23.5,0
2020-08-15,2.875,34.5,0
2020-08-21,0.291666667,6.5,0
2020-08-27,0.416666667,5.5,0
2020-08-28,0.375,2.5,0
2020-08-29,1.083333333,5,0
2020-08-30,0.270833333,4,0
2020-09-01,0.0625,1,0
2020-09-03,1.5625,5.5,0
2020-09-06,0.291666667,4.5,0
2020-09-08,0.0208333333,0.5,0
2020-09-09,0.604166667,14,0
2020-09-10,0.0416666667,1,0
2020-09-11,0.0625,1,0
2020-09-12,0.5625,2,0
2020-09-19,0.0208333333,0.5,0
2020-09-30,0.0208333333,0.5,0
2020-10-03,0.25,4.5,0
2021-04-04,0.0208333333,0.5,0
2021-04-13,0.3125,3,0
2021-04-28,0.125,3,0
2021-04-29,0.0625,1.5,0
2021-04-30,0.958333333,6.5,0
2021-05-01,0.4375,8.5,0
2021-05-02,0.0625,1,0
2021-05-05,0.145833333,3,0
2021-05-15,0.666666667,5,0
2021-05-17,0.125,1.5,0
2021-05-20,0.0416666667,0.5,0
2021-05-21,0.458333333,1.5,0
2021-05-27,0.3125,4,0
2021-05-28,1.1875,14,0
2021-05-30,0.375,6,0
2021-06-04,0.0208333333,0.5,0
2021-06-10,0.0208333333,0.5,0
2021-06-11,0.520833333,8,0
2021-06-15,0.25,4,0
2021-06-18,0.125,1,0
2021-06-22,0.1875,4.5,0
2021-06-23,0.958333333,22,0
2021-06-26,0.25,2.5,0
2021-06-27,0.0833333333,1.5,0
2021-07-04,0.979166667,6,0
2021-07-07,0.0416666667,0.5,0
2021-08-18,0.4375,6,0
2021-08-20,0.0625,1.5,0
2021-08-21,2,16.5,0
2021-08-22,0.0208333333,0.5,0
2021-08-24,0.5,4.5,0
2021-08-27,0.0625,0.5,0
2021-08-29,0.0416666667,0.5,0
2021-09-01,0.395833333,6.5,0
2021-09-08,0.104166667,2,0
2021-09-21,1.145833333,7.5,0
2021-09-22,1.583333333,21.5,0
2021-09-28,0.104166667,1,0
2021-10-01,0.270833333,6.5,0
2021-10-02,0.0625,1.5,0
2021-10-06,0.104166667,1,0
2021-10-07,0.0625,0.5,0
2021-10-08,0.0625,0.5,0
2021-10-16,0.0208333333,0.5,0
2021-10-19,0.270833333,3.5,0
2022-04-13,0.3125,3.5,0
2022-04-26,0.166666667,1.5,0
2022-04-29,0.645833333,4.5,0
2022-05-08,0.104166667,1.5,0
2022-05-18,0.0416666667,1,0
2022-05-25,0.229166667,3.5,0
2022-05-26,0.0208333333,0.5,0
2022-06-09,0.0208333333,0.5,0
2022-06-15,0.708333333,5,0
2022-06-16,0.270833333,3,0
2022-06-24,0.75,12.5,0
2022-06-28,0.0208333333,0.5,0
2022-07-06,0.541666667,13,0
2022-07-07,0.208333333,4,0
2022-07-22,0.9375,14.5,0
2022-07-24,0.291666667,4,0
2022-08-03,2.5,19.5,0
2022-08-06,0.354166667,8,0
2022-08-10,0.604166667,6.5,0
2022-08-11,2,27,0
2022-08-13,0.0833333333,1,0
2022-08-14,0.0625,1.5,0
2022-08-23,0.125,1.5,0
2022-08-25,0.0625,1,0
2022-08-27,0.0625,1.5,0
2022-08-31,0.0208333333,0.5,0
2022-09-06,2.145833333,11.5,0
2022-09-17,0.583333333,8,0
2022-09-23,0.104166667,2.5,0
2022-10-02,0.375,5,0
2022-10-04,0.833333333,6.5,0
2023-04-04,0.208333333,3.5,0
2023-04-05,1.916666667,6.5,0
2023-04-06,0.104166667,1.5,0
2023-04-11,0.0833333333,2,0
2023-04-15,0.0625,1.5,0
2023-04-18,0.0833333333,0.5,0
2023-04-28,0.0208333333,0.5,0
2023-04-29,1.166666667,5,0
2023-04-30,0.0208333333,0.5,0
2023-05-18,0.166666667,3.5,0
2023-05-26,0.0208333333,0.5,0
2023-06-09,0.104166667,1.5,0
2023-06-11,0.583333333,9,0
2023-06-21,1.979166667,18,0
2023-06-27,0.125,2,0
2023-06-30,0.0208333333,0.5,0
2023-07-05,0.604166667,8.5,0
2023-07-09,0.75,9,0
